epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.434,0.71378,1.32976,1.11442,0.6655,0.33117,0.25462,0.13918,1.62561,8.08791,3.83136,0.0674286,0.000329004,0.000329004
2,289.714,0.61692,0.58352,1.01197,0.81274,0.81204,0.87651,0.76575,0.52544,1.48921,1.0559,0.0343958,0.000629552,0.000629552
3,403.8,0.59861,0.54262,1.00709,0.18123,0.65854,0.35077,0.14726,1.87024,3.74865,2.68964,0.00133,0.0008971,0.0008971
4,515.199,0.59899,0.51956,1.00477,0.94873,0.93818,0.97638,0.83543,0.5861,1.11956,1.02738,0.0008515,0.0008515,0.0008515
5,629.744,0.56912,0.47662,0.98936,0.97368,0.96442,0.99286,0.88025,0.49995,0.39759,0.96917,0.000802,0.000802,0.000802
6,744,0.54439,0.45451,0.98222,0.90489,0.91975,0.99014,0.88392,0.47031,0.41878,0.94526,0.0007525,0.0007525,0.0007525
7,858.334,0.53953,0.43858,0.97558,0.99741,0.99754,0.995,0.89221,0.49411,0.2508,0.95768,0.000703,0.000703,0.000703
8,973.935,0.52495,0.40059,0.96891,0.98795,0.97681,0.99461,0.9085,0.44572,0.25777,0.91872,0.0006535,0.0006535,0.0006535
9,1087.38,0.51513,0.39125,0.96514,0.99254,0.99508,0.9949,0.90954,0.45832,0.24765,0.93274,0.000604,0.000604,0.000604
10,1202.08,0.50507,0.37959,0.95609,0.99685,0.99714,0.995,0.91086,0.42499,0.22633,0.9091,0.0005545,0.0005545,0.0005545
11,1318.16,0.46468,0.26718,0.9417,0.99182,0.98831,0.99439,0.9004,0.45804,0.27888,0.92311,0.000505,0.000505,0.000505
12,1428.77,0.45793,0.27228,0.93965,0.99839,0.99769,0.99495,0.90848,0.45272,0.25542,0.93248,0.0004555,0.0004555,0.0004555
13,1540.73,0.45245,0.26182,0.93775,0.99426,0.99428,0.99312,0.91479,0.42771,0.23176,0.90557,0.000406,0.000406,0.000406
14,1655.02,0.44021,0.25532,0.93332,0.98192,0.97616,0.99112,0.90809,0.44642,0.25447,0.90613,0.0003565,0.0003565,0.0003565
15,1766.68,0.43057,0.22961,0.91361,0.9998,0.99802,0.995,0.92486,0.41788,0.2061,0.89922,0.000307,0.000307,0.000307
16,1878.81,0.41878,0.21512,0.91438,0.99965,0.99996,0.995,0.9277,0.40509,0.19219,0.88576,0.0002575,0.0002575,0.0002575
17,1991.04,0.41053,0.20268,0.9067,0.99993,1,0.995,0.93404,0.39604,0.17809,0.88086,0.000208,0.000208,0.000208
18,2103.9,0.39465,0.19026,0.89902,0.99813,0.99968,0.995,0.93118,0.39192,0.17547,0.88083,0.0001585,0.0001585,0.0001585
19,2213.15,0.38976,0.18636,0.89876,0.99988,1,0.995,0.93394,0.39353,0.17425,0.88091,0.000109,0.000109,0.000109
20,2322.71,0.38448,0.17598,0.89363,0.99685,0.99997,0.995,0.9427,0.37426,0.16093,0.86866,5.95e-05,5.95e-05,5.95e-05
