epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.984,0.66849,1.67547,1.15573,0.49403,0.39738,0.39848,0.16482,2.14639,2.65741,6.52375,0.0674286,0.000329004,0.000329004
2,294.786,0.53375,0.49376,0.99048,0.16774,0.13112,0.09347,0.06868,2.61181,3.44187,2.91277,0.034363,0.000596766,0.000596766
3,405.057,0.51222,0.43589,0.97341,0.70966,0.75735,0.83201,0.70159,0.67385,2.04004,1.09485,0.00123143,0.000798528,0.000798528
4,516.004,0.49889,0.37713,0.96396,0.82849,0.71736,0.88243,0.74263,0.62514,0.99977,1.04825,0.000703,0.000703,0.000703
5,627.589,0.47204,0.32588,0.94385,0.94786,0.95169,0.9785,0.88047,0.47483,0.37306,0.93631,0.000604,0.000604,0.000604
6,738.879,0.46221,0.29816,0.93449,0.92979,0.9285,0.9847,0.88123,0.48712,0.43526,0.94483,0.000505,0.000505,0.000505
7,848.218,0.45178,0.26652,0.93149,0.9975,0.99827,0.99494,0.90537,0.45869,0.2367,0.91966,0.000406,0.000406,0.000406
8,959.182,0.4258,0.23503,0.91386,0.99757,0.99364,0.995,0.91414,0.43714,0.21192,0.90056,0.000307,0.000307,0.000307
9,1068.52,0.4182,0.21769,0.9074,0.99852,0.99959,0.995,0.92678,0.40656,0.19298,0.88799,0.000208,0.000208,0.000208
10,1178.91,0.39482,0.19312,0.89369,0.99792,0.99965,0.995,0.93349,0.3963,0.18147,0.88014,0.000109,0.000109,0.000109
