epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.841,0.70452,4.26514,1.18569,0.93889,0.94264,0.97187,0.83941,0.58539,1.13313,1.07199,0.0674286,0.000329004,0.000329004
2,196.377,0.50307,0.42991,0.96566,0.96827,0.95208,0.98197,0.84932,0.53743,0.47855,0.98974,0.034363,0.000596766,0.000596766
3,269.911,0.49236,0.37152,0.96371,0.62731,0.82606,0.81219,0.68845,0.64885,1.02178,1.0957,0.00123143,0.000798528,0.000798528
4,343.695,0.46388,0.328,0.94045,0.89982,0.86258,0.97393,0.87261,0.48105,0.67898,0.94648,0.000703,0.000703,0.000703
5,417.146,0.46997,0.31405,0.9405,0.79243,0.86969,0.97732,0.88698,0.45877,0.86452,0.93203,0.000604,0.000604,0.000604
6,490.745,0.45113,0.27341,0.9263,0.99627,0.99626,0.99493,0.91286,0.42883,0.23926,0.90348,0.000505,0.000505,0.000505
7,563.798,0.4319,0.24775,0.91769,0.99371,0.99272,0.99487,0.91521,0.44009,0.24477,0.90813,0.000406,0.000406,0.000406
8,638.26,0.42448,0.23702,0.91164,0.98882,0.99671,0.99449,0.92993,0.4122,0.21491,0.88877,0.000307,0.000307,0.000307
9,711.397,0.4058,0.2093,0.9004,0.99693,0.99699,0.995,0.93167,0.39913,0.20295,0.88266,0.000208,0.000208,0.000208
10,784.603,0.38575,0.19851,0.88617,0.99817,0.99584,0.995,0.9377,0.38181,0.17936,0.87142,0.000109,0.000109,0.000109
