epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.776,0.73431,2.36228,1.13192,0.86084,0.87689,0.95361,0.82823,0.57478,0.86312,1.0198,0.0674286,0.000329004,0.000329004
2,217.946,0.59129,0.57049,1.00139,0.9031,0.92897,0.97062,0.72251,0.80434,0.80711,1.22626,0.0343958,0.000629552,0.000629552
3,291.731,0.57931,0.51702,0.99823,0.96177,0.94433,0.98168,0.84744,0.55997,0.59566,1.01498,0.00133,0.0008971,0.0008971
4,366.278,0.57077,0.49924,0.99313,0.97808,0.97789,0.99264,0.86994,0.52377,0.49508,0.96744,0.0008515,0.0008515,0.0008515
5,441.83,0.55489,0.46063,0.9858,0.99115,0.96808,0.99468,0.8863,0.48225,0.38299,0.9604,0.000802,0.000802,0.000802
6,518.227,0.53126,0.43443,0.97716,0.982,0.97899,0.99126,0.87535,0.50227,0.50007,0.96253,0.0007525,0.0007525,0.0007525
7,592.101,0.52435,0.42539,0.97043,0.98802,0.99147,0.99498,0.89659,0.47582,0.27231,0.93775,0.000703,0.000703,0.000703
8,667.898,0.51318,0.38038,0.96497,0.99482,0.99557,0.99427,0.91562,0.44505,0.24491,0.91844,0.0006535,0.0006535,0.0006535
9,744.005,0.49732,0.36842,0.95901,0.99621,0.98926,0.99477,0.91173,0.4311,0.24746,0.90926,0.000604,0.000604,0.000604
10,816.568,0.48963,0.35838,0.95013,0.98559,0.99457,0.99494,0.91389,0.43633,0.24122,0.91511,0.0005545,0.0005545,0.0005545
11,892.063,0.44989,0.26352,0.93191,0.99291,0.98311,0.995,0.91935,0.43574,0.28815,0.91035,0.000505,0.000505,0.000505
12,965.688,0.44553,0.27171,0.93604,0.99005,0.99503,0.99498,0.9142,0.44217,0.25677,0.91793,0.0004555,0.0004555,0.0004555
13,1036.61,0.43678,0.24724,0.92426,0.9977,0.99403,0.995,0.92043,0.43642,0.23536,0.90414,0.000406,0.000406,0.000406
14,1108.83,0.42849,0.23913,0.92286,0.99958,0.99994,0.995,0.91853,0.43685,0.21487,0.90342,0.0003565,0.0003565,0.0003565
15,1179.76,0.42809,0.22893,0.91448,0.99885,0.997,0.995,0.9271,0.4218,0.2189,0.89396,0.000307,0.000307,0.000307
16,1253.15,0.41063,0.20804,0.90981,0.99712,0.99546,0.99498,0.93426,0.39676,0.19183,0.88306,0.0002575,0.0002575,0.0002575
17,1325.03,0.40213,0.19813,0.89963,0.99842,0.9993,0.995,0.93709,0.38241,0.18237,0.87194,0.000208,0.000208,0.000208
18,1396.44,0.39365,0.19388,0.89769,0.99842,0.99897,0.995,0.9402,0.38588,0.18317,0.87631,0.0001585,0.0001585,0.0001585
19,1470.16,0.38563,0.18525,0.89526,0.99992,1,0.995,0.94354,0.37482,0.17393,0.86797,0.000109,0.000109,0.000109
20,1541.6,0.37929,0.17606,0.89097,0.99987,1,0.995,0.94406,0.37139,0.16585,0.8671,5.95e-05,5.95e-05,5.95e-05
